Ticker,Trailing Return 20D,Trailing Return 60D,Volatility 20D,Volatility 60D,Downside Volatility 60D,Max Drawdown 120D,Sharpe 60D,Nonzero Volume Rate,Median Dollar Volume,Prediction Date,Current Close,Predicted Return,Predicted Price,Predicted Return Score,Momentum Score,Sharpe Score,Liquidity Score,Volatility Risk,Downside Risk,Drawdown Risk,Liquidity Risk,Profitability Score,Risk Score,Risk Adjusted Score,Risk Flag,Portfolio Ranking Score,Weight,Risk Profile
CLC,0.09038647795794663,0.10359220844927908,0.014953127602418747,0.01602456404649287,0.012922722779300037,-0.16216826014609242,1.7542626444557807,0.9583333333333334,108858775.0,2023-02-28,34900.0,0.012318326160311699,35329.90958299488,1.0,0.6805787522162532,0.646964268663302,0.00028123160610808116,0.16649303565384738,0.26385451350302325,0.10231630240941846,0.999718768393892,0.7495656649473346,0.2629798689714974,0.5917777435644361,Keep,0.6838206977044602,0.18613592064574055,risk_taking
DHG,0.020127118644067687,0.16024096385542164,0.010709844957941188,0.012578534961119287,0.004831286524003568,-0.13152173913043474,3.226981399940195,1.0,726557000.0,2023-02-28,96300.0,0.009195446036756039,97185.5214533396,0.9394835018007318,0.5274619785457054,0.8895732335513976,0.0018973505709757711,0.08859532090408355,0.010385425459144608,0.04704930287376856,0.9981026494290243,0.7327374522141329,0.1456965806155172,0.6453195038448225,Keep,0.6963133070602536,0.1389476777546619,risk_taking
LGC,0.2369565217391305,0.3068442811208085,0.03948966016552896,0.036634328320745646,0.026745068161759245,-0.2588718644578881,2.2195814068874435,0.6333333333333333,8445200.0,2023-02-28,56900.0,0.00866736751049757,57393.17321134731,0.9292501716955063,1.0,0.7236187574284857,1.85138641432825e-05,0.6323781163427613,0.6968477631780875,0.2767086274588133,0.9999814861358567,0.8128881801350892,0.5995619751516816,0.45315099504408024,Keep,0.6629976863471688,0.13096815347683755,risk_taking
DHA,-0.021333333333333315,0.3610740246254265,0.015366032233434258,0.025194880965960557,0.018086567548804618,-0.4000110226239356,3.440744691781618,1.0,1159835008.0,2023-02-28,36700.0,0.00866736751049757,37018.09238763526,0.9292501716955063,0.43710688986148083,0.92478762243019,0.0030309604429952265,0.3737886544254994,0.42561504441862164,0.5312346725142921,0.9969690395570048,0.7126999202586856,0.49101611445878474,0.41809025158341473,Keep,0.5899458916439894,0.13096815347683755,risk_taking
DRC,-0.04094827586206895,0.11657550057710653,0.025398175538059394,0.019629831490195836,0.012331770780302639,-0.4631159396997846,1.6406133260989253,1.0,6889566525.0,2023-02-28,22250.0,0.00866736751049757,22442.84892710857,0.9292501716955063,0.39435989152470646,0.6282421987608752,0.018021982585278085,0.24799034399584524,0.24534258811208542,0.645036151675542,0.9819780174147219,0.6442031881548572,0.4198562364925291,0.39228944625933976,Keep,0.5392391290317249,0.13096815347683755,risk_taking
HMC,-0.009433962264150941,0.1513157894736843,0.012067045692218352,0.02046328252423098,0.020144183507067467,-0.4267123287671233,1.985495850006918,1.0,522691100.0,2023-02-28,10500.0,0.00866736751049757,10591.007358860224,0.9292501716955063,0.4630392827072828,0.6850565713773157,0.0013639646327535592,0.26683055958854884,0.49007109696974027,0.5793869921026344,0.9986360353672464,0.671070108678537,0.4851223765092974,0.37999668277295856,Keep,0.5497895145512126,0.13096815347683755,risk_taking
SAV,-0.04304635761589404,0.15599999999999992,0.01632035880395085,0.017030383271952363,0.010709757807278592,-0.3403693931398417,2.3869286808013643,0.9833333333333333,110440000.0,2023-02-28,14450.0,0.005019116215407848,14522.526229312643,0.8585528076614366,0.38978752547725115,0.7511867834007948,0.00028536865492382436,0.18922964558184452,0.1945320600307909,0.4236787803685329,0.9997146313450762,0.6340615383626107,0.3304811521895237,0.4357728470488965,Keep,0.5514412503152297,0.07584129575923368,risk_taking
DMC,-0.021739130434782594,0.0714285714285714,0.005644234063893019,0.01122558503616143,0.0073590788468332075,-0.18436755391727588,1.7142769812242147,0.9916666666666667,218735150.0,2023-02-28,45000.0,0.004976840689778328,45223.957831040025,0.8577335745594887,0.4362225330505798,0.6403772130351666,0.0005687074094073608,0.05801179861972184,0.0895700342994537,0.14234983045382257,0.9994312925905926,0.6231680551623889,0.18270572667925367,0.5135446191548367,Keep,0.5774916234925755,0.07520249193301365,risk_taking
