Ticker,Trailing Return 20D,Trailing Return 60D,Volatility 20D,Volatility 60D,Downside Volatility 60D,Max Drawdown 120D,Sharpe 60D,Nonzero Volume Rate,Median Dollar Volume,Prediction Date,Current Close,Predicted Return,Predicted Price,Predicted Return Score,Momentum Score,Sharpe Score,Liquidity Score,Volatility Risk,Downside Risk,Drawdown Risk,Liquidity Risk,Profitability Score,Risk Score,Risk Adjusted Score,Risk Flag,Portfolio Ranking Score,Weight,Risk Profile
SJD,-0.032258064516129004,0.0033444816053511683,0.006473271838912474,0.008659266550688752,0.004499754940664086,-0.24861878453038677,0.1692839914879879,1.0,733597425.0,2023-02-28,15000.0,0.0012583807110786438,15018.87571066618,0.7856756768170622,0.41329853737630146,0.38586212072483655,0.0019157708349537494,0.0,0.0,0.2582185364203334,0.9980842291650462,0.534242690140216,0.164363057021588,0.4356248559272632,Keep,0.39453409167186615,0.20373756219985245,prudent
DMC,-0.021739130434782594,0.0714285714285714,0.005644234063893019,0.01122558503616143,0.0073590788468332075,-0.18436755391727588,1.7142769812242147,0.9916666666666667,218735150.0,2023-02-28,45000.0,0.004976840689778328,45223.957831040025,0.8577335745594887,0.4362225330505798,0.6403772130351666,0.0005687074094073608,0.05801179861972184,0.0895700342994537,0.14234983045382257,0.9994312925905926,0.6231680551623889,0.18270572667925367,0.5135446191548367,Keep,0.46786818748502335,0.15716043767811702,prudent
DHG,0.020127118644067687,0.16024096385542164,0.010709844957941188,0.012578534961119287,0.004831286524003568,-0.13152173913043474,3.226981399940195,1.0,726557000.0,2023-02-28,96300.0,0.009195446036756039,97185.5214533396,0.9394835018007318,0.5274619785457054,0.8895732335513976,0.0018973505709757711,0.08859532090408355,0.010385425459144608,0.04704930287376856,0.9981026494290243,0.7327374522141329,0.1456965806155172,0.6453195038448225,Keep,0.6088953586909432,0.14025622721002992,prudent
TMS,-0.020220588235294157,-0.08381463146314627,0.013117001567875085,0.015671700353190935,0.010851482975026612,-0.1941688730103034,-1.3540885725799483,0.9916666666666667,373726292.5,2023-02-28,53300.0,0.004841403104364872,53558.04678546265,0.8551090074709338,0.4395319039947341,0.1349086786428957,0.0009742195424246778,0.15851652859444673,0.19897168581396904,0.1600252298078423,0.9990257804575753,0.5217611870434253,0.2550811762499652,0.36871248129344625,Keep,0.3049421872309549,0.11257348071467158,prudent
CLC,0.09038647795794663,0.10359220844927908,0.014953127602418747,0.01602456404649287,0.012922722779300037,-0.16216826014609242,1.7542626444557807,0.9583333333333334,108858775.0,2023-02-28,34900.0,0.012318326160311699,35329.90958299488,1.0,0.6805787522162532,0.646964268663302,0.00028123160610808116,0.16649303565384738,0.26385451350302325,0.10231630240941846,0.999718768393892,0.7495656649473346,0.2629798689714974,0.5917777435644361,Keep,0.5260327763215618,0.11009459304836237,prudent
SAV,-0.04304635761589404,0.15599999999999992,0.01632035880395085,0.017030383271952363,0.010709757807278592,-0.3403693931398417,2.3869286808013643,0.9833333333333333,110440000.0,2023-02-28,14450.0,0.005019116215407848,14522.526229312643,0.8585528076614366,0.38978752547725115,0.7511867834007948,0.00028536865492382436,0.18922964558184452,0.1945320600307909,0.4236787803685329,0.9997146313450762,0.6340615383626107,0.3304811521895237,0.4357728470488965,Keep,0.3531525590015156,0.10359237542126094,prudent
RAL,-0.08247422680412375,0.10559006211180133,0.015069255240897058,0.018981959603620313,0.007979008496479667,-0.30833333333333335,1.5447669430937918,1.0,1635016350.0,2023-02-28,89000.0,0.00570463202893734,89507.71225057542,0.8718370244272705,0.3038620604322891,0.6124529031587458,0.004274204388786847,0.23334515727091074,0.10898970195665038,0.3659059290375201,0.9957257956112131,0.5912101771709718,0.3054167774523152,0.4079601106995827,Keep,0.3316059163365039,0.09294181919655824,prudent
BMP,-0.07999999999999996,0.08727272727272717,0.021030483200271736,0.022151434292875583,0.012771676301840474,-0.2070552147239264,1.171801752046476,1.0,3944725450.0,2023-02-28,59800.0,0.00703525310382247,60220.708135608584,0.8976223651051926,0.30925416234264325,0.5510123201538004,0.010317227549226532,0.3049913416569133,0.2591228921090025,0.18326406468698447,0.9896827724507735,0.5924777916686802,0.3292681306294439,0.39491691329101386,Keep,0.3125998806336529,0.07964350453114745,prudent
